EmpID,ProjectID,DateFrom,DateTo
# ---------------------------------------------
# Pair (100, 200): Long Overlap on Project 1
# ---------------------------------------------
100,1,2022-01-01,2022-12-31
200,1,2022-06-01,2023-01-31
# ---------------------------------------------
# Pair (100, 300): Shorter Overlap on Project 2
# ---------------------------------------------
100,2,2023-03-01,2023-06-30
300,2,2023-05-01,2023-07-31
# ---------------------------------------------
# Employee 200 and 300: Overlap on Project 3 (Ongoing)
# ---------------------------------------------
200,3,2024-01-01,NULL
300,3,2024-04-01,NULL
# ---------------------------------------------
# Employee 400: Works alone (Should not contribute to any pair)
# ---------------------------------------------
400,4,2023-10-01,2024-02-29
400,5,2024-03-01,NULL
# ---------------------------------------------
# Non-overlapping work on Project 6 (Should result in 0 days of overlap)
# ---------------------------------------------
100,6,2024-01-01,2024-01-31
200,6,2024-03-01,2024-03-31